"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","z9_1","z10_3","z10_1","z9_2","z11_2","z11_3","z10_2","z11_1","z1_3","z9_3","z1_1","z1_2","mean"
"z6_1_k97_192606_1",35.1963110125005,1.71908495547306,0.662447246198778,2.59505185558161,0.00945766487520053,0.28599671016269,"MV_vs_Control",0.717357752,1.753611832,1.411622047,0.861593069,7.631731768,6.137691106,1.119922913,1.909066577,1.005448462,1.398121735,1.349282289,1.23300712,2.2107047225
"z6_1_k97_19481_1",163.103632035182,-1.17971689807713,0.536804636815655,-2.1976652531827,0.0279729694124749,0.470450806069417,"MV_vs_Control",4.738032251,13.27141212,11.45519907,5.002798465,5.570994408,3.95442055,10.85301641,6.004322299,10.38693129,3.196512193,11.49678281,11.11197949,8.08686677966667
"z6_1_k97_202191_1",231.028190224746,-1.16733714911464,0.454429229490197,-2.5687985573116,0.0102051761476701,0.296685544612601,"MV_vs_Control",3.33707562,5.53553102,7.426650803,3.067380388,3.454016533,1.50739937,5.912673188,3.806050454,5.779737756,3.437786672,6.416830029,4.770098746,4.53760254825
"z6_1_k97_205252_1",57.5969038742185,-1.68917737584844,0.656879662087211,-2.57151724028286,0.0101253973798494,0.295299304658336,"MV_vs_Control",1.068766111,1.12748058,1.210132076,0.305632677,0.51343489,0.331316316,0.971104328,0.483716194,3.530958365,1.289483898,1.764950122,1.718295395,1.192939246
"z6_1_k97_206172_2",50.8712375898466,-1.11318594432446,0.518664939459473,-2.14625254115801,0.0318528357545875,0.497714609025681,"MV_vs_Control",1.42716437,1.938202551,2.925400953,1.156348593,1.163458201,0.884838764,1.856714304,1.88394728,1.166849399,1.236233955,3.215641507,1.46014001,1.69291165725
"z6_1_k97_211671_2",19.1961199090682,4.02031720601379,1.05824119147143,3.79905567692347,0.000145248462692365,0.028767239191427,"MV_vs_Control",0,0.575403882,0.154396161,1.938584405,4.662922319,7.355222222,0.816610458,2.326674891,0,0.550510433,0.664099876,0.46237767,1.62556685975
"z6_1_k97_216340_1",24.8453125922363,2.70722304138412,0.93115732545184,2.90737447624165,0.00364476588577308,0.171306063793709,"MV_vs_Control",0.94811619,0.160952135,0.259126425,0.271130686,5.120639895,3.722923003,0.182738005,1.401762172,0.812092988,0.821274306,0.123841469,0.388009233,1.18438387558333
"z6_1_k97_217012_1",101.475074296899,1.07932011526922,0.419965514675389,2.57002081731276,0.0101692403909243,0.295907516056749,"MV_vs_Control",1.684530185,1.838351062,1.341717441,1.775487315,4.458219423,4.968383792,1.168822636,1.738287458,1.686455088,1.969877589,1.04671759,1.624969447,2.10848491883333
"z6_1_k97_220488_1",53.5165441435624,-1.56915058336446,0.534482469649783,-2.93583171098697,0.00332654737648557,0.163898023745467,"MV_vs_Control",1.608831464,4.13396964,5.396370691,1.505696626,1.207229079,1.496207942,3.932415408,4.448310471,4.612372798,2.708012487,4.556283941,3.321936658,3.24396976708333
"z6_1_k97_221394_8",28.4238174693912,-1.63256302054814,0.753063029493289,-2.16789691780068,0.0301665304298111,0.485772822768524,"MV_vs_Control",1.119659735,1.399631065,2.336806768,0.523941731,1.02686978,0.189323609,0.794539905,0.386972955,1.92597729,1.09110176,1.974350984,1.437119785,1.18385794725
"z6_1_k97_223219_1",11.9108514850778,2.05978479868349,0.876774901168462,2.34927436442176,0.0188100407640444,0.397200633381812,"MV_vs_Control",0.391286047,0.448366662,0.481234789,0.503528417,1.973723733,3.638947296,0.84842645,1.859480432,0.411319825,0.571958892,0.689973898,0.60049048,1.03489474341667
"z6_1_k97_223219_2",15.0366392420572,2.24881802850946,0.848099134273174,2.6515980710636,0.00801118438228966,0.262796569256144,"MV_vs_Control",0.836917378,0.799172059,0.343102581,1.076991336,5.564804414,3.502486773,0.907344953,1.193166611,0.146627901,0.815571012,1.229814586,0.385314725,1.40010952741667
"z6_1_k97_225491_9",104.445973757292,-1.25279344235157,0.484764629110274,-2.58433344167646,0.009756741683133,0.289809978881804,"MV_vs_Control",1.380708211,1.243098404,1.293794348,0.274976511,1.017549879,0.504449813,1.77489147,0.820179994,1.157664473,1.513678442,0.884017293,1.029187612,1.07451637083333
"z6_1_k97_226001_1",65.5320298638752,2.54114186577093,0.663729252836189,3.82858199320333,0.000128883693941943,0.027053065572414,"MV_vs_Control",0.919970247,0.746707328,0.377150929,0.641262017,6.380702297,5.775092694,0.598432091,2.73244262,0.523830973,0.560315963,0.574539333,0.635328096,1.70548121566667
"z6_1_k97_228306_1",28.5030561891774,1.94294527682741,0.715071209145022,2.71713537334344,0.00658496679755128,0.235605744104212,"MV_vs_Control",2.231779674,1.420750327,0.304980072,1.276434176,8.016729731,6.572567771,0.806528847,2.651481357,1.433695029,1.268666019,1.530435929,0.913338607,2.36894896158333
"z6_1_k97_229194_5",67.0145634277994,1.50186670243658,0.492586726820452,3.04893863488938,0.00229651386142905,0.132678430837343,"MV_vs_Control",1.816825664,1.387908862,0.43448166,1.818437633,5.484769972,3.520087209,1.707085178,3.597487269,2.12205203,1.770485816,1.468361536,1.626454115,2.229536412
"z6_1_k97_229928_2",55.4784388819635,2.71086873995052,0.77596107631503,3.4935627864534,0.000476620891722138,0.0536854341890511,"MV_vs_Control",0.677642444,0.438023717,0.299175953,0.581351725,5.497742578,3.82970872,0.226051338,2.576249014,0.182650672,0.812748967,0.42894571,0.383981456,1.3278560245
"z6_1_k97_240293_1",66.2927510006956,1.83768900079667,0.666169163535522,2.75859211351604,0.0058050942105634,0.220487525065164,"MV_vs_Control",0.938083214,1.180315656,0.633420149,0.520743064,5.718737996,4.618663876,0.526459489,2.307662895,0.386710947,1.236799997,1.037909453,0.609728795,1.64293629425
"z6_1_k97_243527_2",132.287258419696,1.23038512219115,0.43977311729837,2.79777247356478,0.00514563458716831,0.206774902055756,"MV_vs_Control",1.14693216,0.808766804,0.868054553,0.889345701,3.175874645,3.097367512,0.401729303,1.341657331,0.680113015,1.332616764,0.894541561,0.771757751,1.28406309166667
"z6_1_k97_246060_11",87.1820578030216,1.24424257899996,0.472387272071442,2.63394602810506,0.0084398902625152,0.269783456803197,"MV_vs_Control",1.922024046,1.031758686,1.235169291,1.42608508,4.716519128,4.444534939,0.720869921,2.912972277,1.055720885,1.56927112,1.740399676,1.307412722,2.00689481425
"z6_1_k97_251816_7",125.751605563967,1.01117626049348,0.412280432861031,2.45264189104585,0.0141811438218909,0.349069073074634,"MV_vs_Control",1.745061766,1.577939725,1.314009885,1.527647286,4.703341662,3.908212191,0.679543454,2.335560174,1.297812908,1.492321427,1.716507167,1.246124217,1.96200682183333
"z6_1_k97_251849_1",123.744595539489,-1.16299766373472,0.402539240637103,-2.88915351927933,0.00386280437470053,0.17689760669307,"MV_vs_Control",2.715491577,2.271980995,2.146968082,0.44373892,1.482410529,1.533277471,2.018745166,1.904969868,1.449917095,1.795656349,1.349101323,1.270050252,1.69852563558333
"z6_1_k97_261477_1",26.1380805138568,1.37076054559032,0.664598613714356,2.06253897811992,0.0391564505832116,1,"NR_vs_Control",0.721653308,0.137821289,0.665660097,0.928663188,1.406425894,1.426162279,1.01709566,1.371784367,0.632168195,0.703246861,2.279943687,0.996742282,1.02394725891667
"z6_1_k97_262124_2",104.17074441663,1.20250349951167,0.442216266214716,2.71926564304126,0.00654270402050578,0.234926073168719,"MV_vs_Control",2.968376906,2.267601507,2.068756449,2.100928912,9.119964835,6.970466286,1.866538189,4.514049049,2.028232242,2.603399093,2.442666212,1.91328691,3.40535554916667
"z6_1_k97_26402_1",106.60673647344,1.50079503507171,0.493587077469671,3.04058818307278,0.00236116537356242,0.134904875325007,"MV_vs_Control",1.456709964,0.868534162,0.844809185,0.97538838,4.659663813,3.965079365,1.016911136,2.39758951,0.597577859,1.315685312,1.190367703,0.916031233,1.68369563516667
"z6_1_k97_265483_1",23.1290611501913,2.85019699774527,0.828490714129476,3.4402280546259,0.000581224210352864,0.0600514396089797,"MV_vs_Control",0.976403607,0.106556275,0.571837635,0.59832852,5.372914607,6.486086616,0.725875962,1.060592543,0.391007735,0.271857004,0.327950556,0.428127472,1.443128211
"z6_1_k97_266608_1",61.8551046834837,2.23243324792548,0.616072042284387,3.62365615496469,0.00029046770123376,0.0403732737438321,"MV_vs_Control",1.614054943,1.438509706,0.514653871,2.07705472,8.717279821,7.088366087,0.933269095,3.494273646,0.502724231,1.485504344,0.790595091,1.210989135,2.4889395575
"z6_1_k97_268434_2",102.084125038033,-1.29481176012712,0.553137367481941,-2.34085027743022,0.0192398810394386,0.401224224762116,"MV_vs_Control",1.029800679,1.932997417,1.447464013,0.277661829,0.944457646,0.793532159,1.582182762,0.838945273,2.000096208,0.659465623,1.694838226,1.58942324,1.23257208958333
"z6_1_k97_270550_1",95.5557334393566,-1.00976993494079,0.494788730423876,-2.04081029508441,0.041269686874835,0.549488653299958,"MV_vs_Control",1.176915062,2.877019412,3.715157634,1.009679378,1.727008266,1.641790675,3.266441831,2.18125771,3.422845057,1.892379614,2.663317213,2.203518583,2.31477753625
"z6_1_k97_276006_1",74.6841515195916,1.44769824747888,0.596185811142729,2.42826685979666,0.0151711756822553,0.359740434314898,"MV_vs_Control",2.129538458,1.626796316,1.616713732,1.691609429,6.799529929,7.408401341,0.478850111,4.647727531,0.994920206,1.84464229,1.437144584,1.065163219,2.64508642883333
"z6_1_k97_279268_2",48.3091777603501,2.71313998164033,0.712520323694865,3.80780714797158,0.00014020454323533,0.028403485537742,"MV_vs_Control",0.74576796,0.455765451,0.550322952,0.3838781,6.566051231,5.548493897,0.323410082,1.559386066,0.679424332,0.872095736,0.701359605,0.961379314,1.61227789383333
