"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_24701",-32.291627575541,31.9877585003714,"Cluster 6","Cluster 2","Cluster 6","Cluster 2","Cluster 5"
"g_24702",-26.4632523980114,-7.80750270879748,"Cluster 7","Cluster 1","Cluster 3","Cluster 4","Cluster 3"
"g_24703",1.92480473958173,0.163192906657323,"Cluster 1","Cluster 3","Cluster 4","Cluster 2","Cluster 1"
"g_24705",23.5672528907871,7.73896739747477,"Cluster 4","Cluster 5","Cluster 4","Cluster 5","Cluster 1"
"g_24706",11.177775289657,-16.657666231856,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24709",10.5054447907809,-9.09011093207998,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24712",24.6507402841643,23.012584708787,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 5"
"g_24716",-17.7434811327137,7.26989917727594,"Cluster 7","Cluster 1","Cluster 3","Cluster 4","Cluster 3"
"g_24718",43.5574660545524,-6.06089143064574,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24719",-15.4810030011937,-29.8320577732938,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24720",39.2247569928819,-1.96265721330604,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24721",-33.3076570907619,22.6537505108579,"Cluster 6","Cluster 2","Cluster 2","Cluster 7","Cluster 1"
"g_24722",0.677484760479125,-12.8680555883399,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24723",-11.3219790070844,-6.16226939325005,"Cluster 5","Cluster 6","Cluster 3","Cluster 4","Cluster 3"
"g_24730",3.05739324643061,-23.3262318703461,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24731",23.5152111136661,-32.6737424201161,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24732",-9.76993227979189,-23.2771890577236,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24735",34.1943133905986,1.79283513848935,"Cluster 4","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24743",35.4080433703243,6.14027366276857,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_24744",1.87920208922648,0.0730611740484563,"Cluster 1","Cluster 3","Cluster 4","Cluster 2","Cluster 1"
"g_24745",35.1063005031906,-20.1147520503619,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24746",22.3605048507377,-7.06155534501816,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24747",-19.7895906271875,17.2102050866208,"Cluster 7","Cluster 1","Cluster 3","Cluster 4","Cluster 3"
"g_24748",-6.69187010011243,-30.9538727325294,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24751",22.6503303070912,38.8485725948103,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24752",13.2161988655352,3.33436144029189,"Cluster 4","Cluster 5","Cluster 4","Cluster 5","Cluster 1"
"g_24758",6.95259398313129,-41.8072516122771,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24759",38.4988867059843,23.9044366740993,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24763",-36.4276498938942,23.6854287471664,"Cluster 6","Cluster 2","Cluster 2","Cluster 7","Cluster 1"
