"Gene_ID","Kmeans_Cluster"
"g_03101","6"
"g_03113","5"
"g_03115","15"
"g_03118","8"
"g_03129","11"
"g_03132","15"
"g_03146","12"
"g_03149","10"
"g_03168","6"
"g_03175","5"
"g_03179","8"
"g_03203","11"
"g_03207","1"
"g_03236","1"
"g_03247","8"
"g_03270","15"
"g_03273","22"
"g_03282","16"
"g_03320","12"
"g_03330","12"
"g_03424","2"
"g_03428","8"
"g_03436","6"
"g_03442","11"
"g_03459","6"
"g_03477","22"
"g_03481","8"
"g_03495","8"
"g_03501","15"
"g_03534","2"
"g_03612","11"
"g_03626","1"
"g_03631","2"
"g_03632","8"
"g_03644","15"
"g_03645","6"
"g_03659","11"
"g_03670","16"
"g_03681","12"
"g_03702","5"
"g_03705","1"
"g_03738","12"
"g_03740","5"
"g_03746","15"
"g_03763","15"
"g_03764","5"
"g_03765","5"
"g_03782","6"
"g_03783","8"
"g_03803","6"
"g_03825","15"
"g_03830","6"
"g_03865","12"
"g_03874","21"
"g_03900","14"
"g_03903","12"
"g_03908","8"
"g_03917","8"
"g_03918","11"
"g_03928","1"
"g_03931","6"
"g_03932","8"
"g_03934","1"
"g_03941","6"
"g_03966","15"
"g_03998","22"
"g_04038","8"
"g_04039","15"
"g_04070","15"
"g_04073","15"
"g_04084","8"
"g_04092","8"
"g_04111","5"
"g_04118","12"
"g_04131","5"
"g_04136","5"
"g_04149","4"
"g_04151","8"
"g_04153","8"
"g_04183","5"
"g_04211","1"
"g_04239","6"
"g_04256","5"
"g_04267","22"
"g_04270","22"
"g_04276","15"
"g_04279","1"
"g_04286","5"
"g_04289","11"
"g_04290","6"
"g_04310","8"
"g_04335","12"
"g_04337","1"
"g_04345","15"
"g_04347","6"
"g_04398","6"
"g_04402","6"
"g_04427","8"
"g_04437","4"
"g_04465","5"
"g_04507","22"
"g_04512","15"
"g_04516","13"
"g_04536","1"
"g_04545","15"
"g_04556","6"
"g_04557","15"
"g_04560","22"
"g_04575","8"
"g_04576","22"
"g_04588","8"
"g_04600","15"
"g_04601","6"
"g_04613","1"
"g_04614","8"
"g_04621","13"
"g_04685","22"
"g_04687","22"
"g_04696","16"
"g_04711","8"
"g_04716","15"
"g_04717","6"
"g_04721","6"
"g_04722","6"
"g_04731","8"
"g_04733","13"
"g_04760","15"
"g_04762","6"
"g_04765","6"
"g_04766","6"
"g_04777","15"
"g_04780","1"
"g_04822","8"
"g_04851","15"
"g_04860","13"
"g_04876","4"
"g_04879","8"
"g_04882","8"
"g_04897","13"
"g_04903","8"
"g_04924","20"
"g_04925","11"
"g_04946","8"
"g_04974","12"
"g_04987","16"
"g_05014","12"
"g_05018","1"
"g_05051","8"
"g_05056","22"
"g_05071","11"
"g_05073","15"
"g_05075","5"
"g_05086","1"
"g_05104","6"
"g_05115","15"
"g_05116","12"
"g_05117","11"
"g_05119","8"
"g_05142","11"
"g_05144","12"
"g_05172","8"
"g_05173","13"
"g_05188","8"
"g_05212","22"
"g_05220","1"
"g_05234","6"
"g_05242","12"
"g_05274","8"
"g_05276","8"
"g_05293","12"
"g_05334","8"
"g_05343","12"
"g_05359","11"
"g_05362","15"
"g_05371","8"
"g_05373","6"
"g_05393","5"
"g_05408","10"
"g_05428","16"
"g_05434","13"
"g_05436","2"
"g_05439","8"
"g_05452","2"
"g_05453","22"
"g_05455","12"
"g_05488","6"
"g_05517","6"
"g_05518","8"
"g_05521","9"
"g_05526","6"
"g_05533","21"
"g_05553","6"
"g_05557","2"
"g_05560","19"
"g_05561","6"
"g_05571","15"
"g_05608","6"
"g_05609","6"
"g_05615","6"
"g_05631","4"
"g_05650","8"
"g_05651","8"
"g_05666","16"
"g_05668","11"
"g_05669","22"
"g_05675","22"
"g_05695","8"
"g_05696","8"
"g_05704","11"
"g_05709","1"
"g_05718","4"
"g_05735","8"
"g_05736","13"
"g_05737","8"
"g_05738","6"
"g_05758","8"
"g_05777","6"
"g_05790","22"
"g_05804","15"
"g_05806","12"
"g_05811","8"
"g_05818","8"
"g_05824","8"
"g_05844","3"
"g_05859","1"
"g_05866","1"
"g_05875","1"
"g_05879","13"
"g_05880","9"
"g_05904","6"
"g_05917","11"
"g_05920","15"
"g_05943","8"
"g_05956","15"
"g_05977","11"
"g_05978","6"
"g_06003","12"
"g_06008","8"
"g_06014","12"
"g_06015","13"
"g_06016","21"
"g_06023","16"
"g_06029","1"
"g_06034","6"
"g_06054","1"
"g_06063","8"
"g_06078","12"
"g_06086","14"
"g_06093","21"
"g_06106","18"
"g_06119","1"
"g_06122","8"
"g_06135","5"
"g_06136","12"
"g_06148","8"
"g_06150","8"
"g_06179","23"
"g_06184","1"
"g_06186","9"
"g_06192","12"
"g_06194","6"
"g_06200","15"
"g_06201","15"
"g_06237","21"
"g_06240","6"
"g_06312","8"
"g_06315","1"
"g_06321","12"
"g_06328","24"
"g_06337","15"
"g_06339","1"
"g_06353","4"
"g_06374","12"
"g_06376","6"
"g_06392","15"
"g_06397","5"
"g_06398","1"
"g_06421","24"
"g_06437","18"
"g_06438","1"
"g_06467","6"
"g_06472","1"
"g_06482","8"
"g_06502","12"
"g_06523","6"
"g_06534","14"
"g_06537","6"
"g_06543","8"
"g_06554","11"
"g_06558","12"
"g_06570","12"
"g_06575","6"
"g_06583","1"
"g_06586","18"
"g_06594","8"
"g_06600","13"
"g_06617","8"
"g_06628","1"
"g_06637","1"
"g_06652","5"
"g_06655","22"
"g_06663","8"
"g_06667","18"
"g_06668","15"
"g_06670","8"
"g_06686","8"
"g_06687","19"
"g_06689","6"
"g_06696","22"
"g_06722","11"
"g_06723","8"
"g_06725","12"
"g_06726","6"
"g_06737","22"
"g_06790","1"
"g_06792","2"
"g_06804","1"
"g_06811","15"
"g_06822","1"
"g_06828","12"
"g_06842","15"
"g_06847","1"
"g_06850","5"
"g_06855","14"
"g_06856","8"
"g_06876","6"
"g_06880","15"
"g_06885","15"
"g_06886","6"
"g_06896","5"
"g_06901","17"
"g_06905","8"
"g_06911","8"
"g_06933","22"
"g_06938","5"
"g_06956","8"
"g_06960","6"
"g_06976","8"
"g_07008","12"
"g_07011","11"
"g_07022","6"
"g_07025","22"
"g_07034","12"
"g_07054","12"
"g_07086","22"
"g_07105","6"
"g_07110","15"
"g_07125","15"
"g_07127","22"
"g_07139","12"
"g_07157","17"
"g_07165","3"
"g_07177","14"
"g_07191","2"
