"otu","tSNE1","tSNE2","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3"
"OTU117",7.9156678136682,-27.2175485134207,0.778151250383644,1.36172783601759,1.20411998265592,1.17609125905568,1,0.698970004336019,1.41497334797082,1.17609125905568,1.38021124171161,1.27875360095283,1.36172783601759,0.698970004336019,1,1.27875360095283,1.07918124604762,0.301029995663981,1.14612803567824,0.602059991327962
"OTU115",27.6541972082663,5.01718793818381,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0,0,0,0.301029995663981,0
"OTU112",23.4287046648441,5.12920810420679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.301029995663981
"OTU113",-16.5883011254024,-27.1470862895587,2.67486114073781,2.56466606425209,2.64836001098093,2.67942789661212,2.57634135020579,2.46389298898591,2.68484536164441,2.67486114073781,2.66745295288995,2.75587485567249,2.74973631556906,2.74429298312268,2.72835378202123,2.61278385671974,2.65801139665711,2.17026171539496,2.15228834438306,2.32428245529769
"OTU110",16.4364740873681,-16.5616088403207,1.14612803567824,1.07918124604762,0.845098040014257,0.954242509439325,1,0.602059991327962,0.602059991327962,0.903089986991944,0.698970004336019,0.602059991327962,1.07918124604762,0.477121254719662,0,0.845098040014257,1,0,0,0
"OTU111",21.4957336613098,-10.6708785265163,0.301029995663981,0.477121254719662,0.698970004336019,0,0,0.301029995663981,0.477121254719662,0.698970004336019,0,0.602059991327962,0,0.698970004336019,0.301029995663981,0.602059991327962,0.477121254719662,0,0.301029995663981,0
"OTU118",-17.8747531623263,-25.0407979911887,2.27875360095283,2.19589965240923,2.1430148002541,2.23044892137827,2.23299611039215,2.2380461031288,2.22010808804005,2.20951501454263,2.19033169817029,2.28555730900777,2.23552844690755,2.22271647114758,2.1430148002541,2.11058971029925,2.2148438480477,2.69635638873333,2.32837960343874,2.54282542695918
"OTU119",20.2946683738041,7.42328208790009,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0.301029995663981
"OTU58",8.47182850656466,21.8178083167549,0.301029995663981,0.602059991327962,0.301029995663981,0,0,0,0.301029995663981,0,0.698970004336019,0.602059991327962,0.477121254719662,0.778151250383644,0,0.301029995663981,0,0.903089986991944,0.954242509439325,1
"OTU59",-0.516778603805954,12.7077827175105,0.301029995663981,0,0.301029995663981,0.477121254719662,0.602059991327962,0.301029995663981,0.301029995663981,0.301029995663981,0.698970004336019,0.477121254719662,0.477121254719662,0,0,0.477121254719662,0.602059991327962,0.778151250383644,1.14612803567824,0.698970004336019
"OTU50",14.0273610196059,19.6457135257959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,1.17609125905568
"OTU51",9.51043810225501,23.8958173996636,0.301029995663981,0,0.602059991327962,0.602059991327962,0,0,0.778151250383644,0.778151250383644,1,0.778151250383644,0.778151250383644,0.698970004336019,0.477121254719662,0.778151250383644,0.477121254719662,1.14612803567824,1,1.11394335230684
"OTU52",-6.53206112150131,36.8079814751655,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,1.14612803567824,1,0.602059991327962
"OTU53",-21.8178460797722,-18.1725385339675,1.14612803567824,1.25527250510331,1.23044892137827,1.23044892137827,1.07918124604762,1.14612803567824,1.23044892137827,1.43136376415899,1.20411998265592,1.23044892137827,1.34242268082221,1.20411998265592,1.36172783601759,1.17609125905568,1.30102999566398,1.98227123303957,2.43296929087441,2.05690485133647
"OTU54",15.8297963360424,-17.2722945748712,1.25527250510331,1.04139268515823,0.903089986991944,1.07918124604762,1.14612803567824,0.477121254719662,0.903089986991944,0.602059991327962,0.954242509439325,1.07918124604762,1.04139268515823,0.845098040014257,0.845098040014257,0.602059991327962,1.11394335230684,0.954242509439325,0.602059991327962,0
"OTU55",12.5456929795321,20.3946519130964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903089986991944,0.602059991327962,1.17609125905568
"OTU56",-1.59842289563019,13.8181421752949,0.301029995663981,0,0,0,0,0,0,0,0,0,0.477121254719662,0,0,0,0,0.602059991327962,0.954242509439325,0.301029995663981
"OTU57",11.2404448656196,22.9586056420988,0,0,0.301029995663981,0.301029995663981,0,0,0.301029995663981,0.301029995663981,0.301029995663981,0.602059991327962,0.477121254719662,0.301029995663981,0,0.301029995663981,0.301029995663981,1.11394335230684,0.845098040014257,1.11394335230684
"OTU105",20.7540314518424,-10.2931321530382,0,0.301029995663981,0.698970004336019,0,0,0.477121254719662,0.301029995663981,0.301029995663981,0.477121254719662,0.301029995663981,0.477121254719662,0.698970004336019,0,0.301029995663981,0.477121254719662,0.301029995663981,0,0
