"gene_id","tSNE1","tSNE2","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3"
"g_29491",17.4258369069686,-5.10927078258292,0.793263885098065,0.894965578206498,0.880152733538278,0.111368385243974,0.0364739906633776,0.0944651889339376
"g_29494",6.29504286979872,-45.5065093258944,0.64909369016248,0.471774301999351,0.540176631309945,0,0,0
"g_29498",44.003402535826,18.2871445608296,1.48881300473005,0.855696168789627,0.758208734871783,0.109588332761481,0.0700079269774546,0.180313149375446
"g_29499",0.580599078927967,-14.5431110527029,0.511159691479443,0.852211770581041,0.805224221675843,0.195971844408585,0.105273387154623,0.324405316498336
"g_29510",-34.9395638070804,25.4210153880067,1.76174571964931,1.93127942748876,2.00219473288857,0.21656885673324,0.364854426466082,0.60520082451402
"g_29519",-36.7999556283847,13.0178501125001,1.50849242864417,2.08959083689506,2.00441226081686,0.980060121751504,0.919628355777708,0.793744439210847
"g_29520",-46.4566053575107,-16.4358104434039,0.593313320359851,0.562454058927839,0.58754619363667,2.01862731970491,2.09211994536552,2.06305096824189
"g_29521",47.987138884945,0.371989893414622,1.55968394118634,0.638011170135775,0.550042606571951,0.0991818482402079,0.215296179035404,0
"g_29522",28.335545469566,-11.7385443219112,0.930807518739926,0.603400541629169,0.771719512786386,0,0,0
"g_29524",19.0298447938645,3.4949583724771,0.831464712971403,0.992106136467595,1.04832105445358,0.0402640282478368,0.0135479581525751,0.129423370126094
"g_29526",22.4011716322614,-31.3443972965524,0.86206271001786,0.503606034618945,0.535747676541711,0,0,0.0179677368847791
"g_29527",-41.2038977773133,-23.3242282623492,0.432142864778625,0.75046743193026,0.760238095326224,1.44092700421045,1.9055055991345,1.90644430215546
"g_29529",-8.40129937551948,-44.1260335731963,0.474084935722363,0.359105102072691,0.613461568533772,0.151948421833054,0.080613501178373,0.208568186305564
"g_29530",-35.7600110392081,-7.71090188809075,0.161421911307407,0.25478582269052,0.3065481138265,1.30154940514376,1.29231804253001,1.49989179871249
"g_29536",20.8311428921064,14.310017731864,1.1041603798685,1.21170596329269,1.24202287235139,0.0521720134432583,0,0.110623038596907
"g_29538",-4.72974781460282,-21.3910966694753,0.560737569332773,0.812519239366123,0.641554814354058,0.236503252178534,0.17033594993112,0.121308320441446
"g_29543",-19.8663163785488,9.43455613536858,0.457739025155595,0.557991753310796,0.502383551780353,0.708264832043154,0.539318658567724,0.665118685731173
"g_29544",9.09365439135574,-14.7860586726264,0.524030225842924,0.785581083553423,0.878502148401671,0.0611160721994332,0.169011026165847,0.0854464965722773
"g_29546",-16.6788332947808,-18.3461056168592,1.02772444803654,0.613189361949984,0.660126739088124,0.967624579383628,0.997713423914236,0.857860566873167
"g_29548",29.1271228494358,-3.65510552759731,1.06336368718761,0.814704230715989,0.754784246400361,0,0,0.114547269692288
"g_29551",-30.2763710081675,-20.7608807857949,0.696569114707317,0.776049762330004,0.876583775837906,1.33199598140297,1.55983106558049,1.43591596772754
"g_29553",0.251586937026977,-4.31624010956392,0.550999855204359,1.00293811678403,0.942613310558496,0.429600008070495,0.416812028103686,0.298416161603251
"g_29554",27.2978581026793,17.7021793968513,1.11745389301238,1.27287661745006,1.21134986083978,0.0520957501387889,0,0
"g_29557",-7.96049072305666,-42.432835010455,0.426527201468757,0.501458711585612,0.616476879262058,0.0878048350179123,0.0957469799437042,0.0830218349078235
"g_29558",-34.2801275843287,21.3796246009789,1.71878006294293,2.1830095221857,1.92591370888252,0.468101603859674,0.400454921549303,0.590654952134478
"g_29562",28.6947405167695,28.5451577586722,1.56726606821339,1.16754703645358,1.25689001080943,0.0593770894573521,0.0396536091740709,0.132441248161541
"g_29563",6.78555902707504,-29.6008179390619,0.684276278536039,0.608069677717114,0.713422243446298,0.0269812187904377,0,0
"g_29565",22.6606171228017,-1.73493923600722,0.795955404322733,0.899897399654351,0.86221954168865,0.199599143191258,0.0421886881971013,0.235125780408162
"g_29566",30.695234217233,-14.0801490772954,0.983966869515911,0.595178872526037,0.713090841896423,0,0,0.0209770633441153
"g_29571",1.98623694129639,-13.0952283763077,0.499685845701979,0.852035163027235,0.841293445165571,0.263170520540744,0.171449118542337,0.12806631126888
"g_29573",-33.0958550656838,26.1191720058125,1.80185990491491,1.77062912458344,1.90139094330933,0.19843328518011,0.250230139966898,0.538112176404732
"g_29574",33.0882174920825,11.2637017278663,1.20285004211819,0.972598662283108,0.986333233721354,0.0553167764745837,0,0
"g_29576",22.5819437077694,-30.3152245167176,0.91601216488095,0.519007964869097,0.57064589749763,0.00736621626214131,0,0.00521269716705383
