gene_id,tSNE1,tSNE2,Blue1,Blue2,Blue3,Dark1,Dark2,Dark3,Yellow1,Yellow2,Yellow3
g_27272,4.780757864,-5.38777705,0.495324082,0.75354093,0.651856752,0.202500032,0.150797872,0.173406566,0.088623643,0.162839114,0.054951473
g_27274,40.83539605,-10.30293235,0.541930157,0.332569738,0.453319258,0.583132321,0.593978945,0.6072272,0.761840069,0.537478953,0.555719069
g_27276,10.0832412,-23.96056262,0.380799493,0.284566979,0.39604723,1.332907971,1.492109927,1.428532397,1.506133315,1.407492251,1.515844448
g_27281,-10.6159585,12.07406163,0.645667056,1.269911262,1.360747812,0.009806005,0,0.028365036,0,0,0
g_27282,-25.57059226,-0.363755037,1.136090764,0.76553087,0.690291171,0.043015097,0.047601926,0.014764498,0,0.043439697,0.015524471
g_27283,5.316992779,4.581157001,0.595761678,0.834742204,0.749804082,0.204642992,0.292410706,0.332239851,0.190728546,0.178852681,0.333066218
g_27285,45.2805015,-16.73156752,0.560136991,0.658188419,0.626583935,0.762289099,0.90338027,0.76802544,0.64610187,0.502847145,0.480887294
g_27286,-40.38966381,0.509644343,1.18141963,1.037669754,1.005014874,0.173886113,0.049788048,0.009347197,0.406528599,0.469018048,0.014075096
g_27287,5.893718503,20.38093582,0.967488584,1.044594005,1.056725954,0.460708305,0.273325193,0.427648209,0.307933108,0.516908297,0.230523511
g_27289,-45.66232503,14.03456675,1.428395406,1.333422385,1.284522028,0.170419559,0.094451213,0.084837491,0.946626095,0.852944842,0.22744499
g_27290,-12.10582323,0.618685182,0.695174497,0.811656562,0.988562033,0,0,0.087019315,0,0,0
g_27291,0.793181989,6.69753547,0.446179457,0.951363848,1.024231872,0.038525584,0.279348177,0.097990929,0.197345353,0.278300556,0.182022697
g_27292,-17.94718746,9.77955337,1.005889224,1.010513065,1.019379779,0.061944175,0.004559955,0,0.022491469,0.037289415,0
g_27293,24.30612893,-20.67658993,0.744891115,0.319918482,0.56962774,0.859832013,0.805156752,1.023892891,1.02250116,0.858800882,0.992876931
g_27294,-9.741015487,-8.542628606,0.610273064,0.709751828,0.740043563,0.05255082,0.04534215,0.107800615,0,0,0.032167311
g_27295,4.675372325,-19.04078241,0.096347846,0.736040474,0.762378654,0,0,0.025354618,0,0,0
g_27297,-25.51314168,3.90426897,1.166274545,0.865505497,0.751735566,0.017199926,0.052089587,0.077657823,0.017675537,0.022739648,0.075230432
g_27298,22.26193969,38.22026442,1.164891523,1.729603942,1.800993702,0.104378524,0.164928361,0.449880418,0,0,0.038670621
g_27299,-39.42496124,-9.563064895,1.023491482,0.744317553,0.799331312,0,0.047739295,0,0.212984323,0.408569293,0
g_27302,10.64861207,-20.95464613,0.190970901,0.383877455,0.36155635,1.292391568,1.409154667,1.326725711,1.277389536,1.353329913,1.47808705
g_27304,-7.474397237,3.817215202,0.778291288,1.067577758,0.9045821,0.158953514,0.047518238,0.101198706,0.055617586,0.061784105,0.030219497
g_27306,-37.8215404,29.90726887,2.699948223,2.468644716,2.52882918,0.957662684,0.666917554,0.663435746,1.953338009,1.957888396,1.118142954
g_27308,-10.2981644,-8.992896922,0.62225289,0.655772119,0.813326809,0,0.032499495,0.184825105,0,0,0
g_27310,-1.724646022,49.74741811,2.111304469,2.30129348,2.394802654,0.367762812,0.243787862,0.827657673,0.592592526,0.398015222,0.361243989
g_27311,10.07293783,-5.290213373,0.479436809,0.587795796,0.510197704,0.294865946,0.075748369,0.051359005,0.132888577,0.252218109,0.162651316
g_27312,-30.98937359,4.856096157,1.227613527,0.780793694,0.649157697,0.093017673,0.069883341,0.244007057,0.125578524,0.102687142,0
g_27313,39.51190261,4.74961898,0.481170213,0.309840877,0.238458111,0.515596893,0.546684526,0.385778349,0.362882091,0.373496802,0.502540732
g_27314,6.701460542,-32.42020357,0.588937152,0.628890582,0.524342497,1.781020444,1.862053557,1.635976351,1.815548608,1.751806113,1.814725084
g_27316,4.152466479,-38.79451256,0.635368724,0.641140924,0.561883602,2.003810821,2.02507068,2.020736466,1.880801078,2.01875667,2.183583653
g_27319,17.22931852,-39.50897113,1.227329525,1.352715929,1.032970043,1.844213425,1.715399422,1.525894557,1.663948591,1.890871646,1.721278984
g_27322,5.378273316,-41.66322129,0.756160329,0.775693877,0.736489089,2.118357873,2.16760233,2.15953071,1.995202883,2.054839989,2.115826021
g_27326,12.1949627,-2.619206311,0.513025989,0.556851657,0.599201852,0.037916297,0.204110754,0.121490575,0.454563468,0.317734776,0.28380874
g_27328,26.89884974,-24.36051359,0.820006082,0.653009603,0.63689051,0.94794575,0.980040115,0.872833768,0.913669558,0.931378887,1.022465324
g_27329,-16.49706456,-5.271859836,0.846810186,0.710626453,0.778843832,0,0,0.07969052,0,0,0
g_27330,29.46197391,-26.57286017,0.696823812,0.676939396,0.547284525,0.96039176,1.071531965,0.833381797,1.08568494,0.978039611,0.802243563
g_27331,12.25227286,10.45010376,0.678561351,0.899654082,0.664776661,0.249104393,0.227275178,0.339288625,0.509033747,0.189730836,0.711699106
g_27332,37.49027797,-20.46474954,0.777489171,0.61044999,0.484415731,0.6995965,0.820834503,0.832850147,0.922516407,0.522697563,0.560781511
g_27334,28.33115887,-12.0220294,0.633032933,0.282897283,0.337277319,0.581950341,0.571238771,1.025458784,0.866919354,0.762344501,0.870131361
g_27335,14.1459575,-21.4310711,0.407487271,0.344053942,0.284347477,1.210457991,1.377881765,1.273411978,1.180181205,1.123381794,1.21163634
g_27336,-12.28512123,-17.85996859,0.781971607,0.61760091,0.575235892,0.004800124,0.033173562,0.030009604,0.013088453,0,0.03904114
g_27337,-21.40540719,-8.264443739,0.973989719,0.873080656,0.522237601,0.041051828,0.255282639,0.118013603,0.155819566,0.108679332,0.178315223
g_27338,35.11220714,-15.77623635,0.767814455,0.419017121,0.414014002,0.747378244,0.812618471,0.737009978,0.585297472,0.594433878,0.775480759
g_27340,15.38562397,34.32799444,1.542834922,1.393346801,1.598925281,0.093796978,0.43178354,0.095765443,0.306151926,0.110860303,0.095269803
g_27341,-41.85125425,-2.481630622,1.220633267,0.894320937,0.889461718,0.204625641,0,0,0.405727034,0.494447505,0.037074138
g_27342,-2.339750386,2.937320834,0.731396956,0.728780155,0.780024082,0.046741312,0.195545157,0.174695512,0.178504431,0.115949828,0.002518108
g_27344,10.44376565,-21.72448571,0.393798522,0.388740622,0.248976627,1.377038196,1.242423025,1.556673194,1.298687642,1.22419246,1.477434398
g_27347,14.61942701,-43.4823651,1.406313028,1.649490602,1.689682822,2.207360484,1.913140969,2.094943467,2.437672083,2.26764923,2.227749639
g_27349,32.29305517,-25.35301711,0.881067466,0.674726057,0.565137261,0.858981731,1.161966437,0.951177714,0.850959133,0.481868974,0.93024269
g_27351,-0.087295163,-53.16102483,1.746124663,2.103213617,2.163167051,2.643406511,2.610185254,2.767783808,2.668495588,2.530152943,2.650558807
g_27353,-4.384429144,6.669454379,0.855723474,0.910753234,0.698933088,0.135796789,0,0.143011051,0.139753186,0.062931159,0.350759177
g_27354,21.13808528,-23.51348773,0.737865755,0.595482002,0.576948707,1.119446462,0.978270061,1.022927214,0.797812387,1.060991324,1.374720125
g_27355,-0.03702302,-13.93479383,0.363715559,0.70539146,0.664698092,0,0.040243048,0.059431633,0.087046683,0,0.015822309
g_27356,-33.90400062,-27.37351116,0.731330045,0.471276599,0.535641543,0,0.033623163,0.028875315,0.275444502,0.244918314,0
g_27359,-1.777310918,-51.16038622,1.345587864,1.459219957,1.438022134,2.874333416,2.707484132,2.921935028,2.762753385,3.137540822,3.105001718
g_27360,6.345708004,-45.45188797,0.872286192,0.92345904,0.972726084,2.121263888,2.150145451,2.185630526,2.202271579,2.049614767,2.401536481
g_27361,20.2599667,-22.55440003,0.597098059,0.362476066,0.332425532,1.075095425,0.87567151,1.365183816,0.871620682,0.959990362,1.504711527
g_27362,-13.23932221,-8.972774683,0.713470382,0.74442865,0.646348529,0.036012542,0,0,0,0,0
