"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm"
"g_46569",-32.0076602521906,0.929609954091936,0.25864590149266,0.253623644181305,0.373301589072933,0.536217185365435,0.513714356567753,0.480480094867017,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46580",-2.53651197998475,9.75232385989809,0.0521935804334748,0,0.0951027196168599,0.861957149329529,0.809313409932781,0.197334876006721,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46595",-37.2662581740231,-31.54167331062,0.657613859178285,0.316227069778678,0.562827609705016,0.989761454511662,0.869107106289277,1.27941779193485,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46611",-46.9189768376872,-1.20962486696423,0.319186661884539,0.22717506102834,0.350998853473734,0.478212711741312,0.464168104241971,0.841739468279422,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46620",49.6540408073606,17.4019106836598,0.998004573545951,0.91221355129404,0.975063352150388,0.919673713684221,0.493511585121259,0.456512241237721,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46635",-2.80507026573014,14.2712625356117,0.0315878009399593,0.0776411159401861,0.135147286695132,0.950542138870517,0.909169217277004,0.185477558307694,"Yellow_vs_Dark","N","Topology=o10-32i",0,1
"g_46644",-24.7985643360488,12.5147199800164,0.134429894143579,0.115589878036349,0.215233214417641,0.472941241049547,0.185779492975849,0.419127984175823,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46646",9.6903472805287,-19.908555960896,0,0,0,0.407211030215584,0.264016471709329,0.0655584289226712,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46651",-36.8203469422063,-6.34503551105015,0.391590820214386,0.394753480651008,0.334195711628233,0.715647076069966,0.743486559926808,0.714745912883054,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46652",-43.9548429548235,13.7922473553693,0.230262390166182,0.163217746082874,0.137801786309719,0.407116302767202,0.404545002924343,0.866221983187637,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46655",-47.1034930513801,-8.88884789782281,0.25545583518426,0.139093814459321,0.33728830531343,0.682380488652195,0.712459024697185,0.793709592817007,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46660",-48.4713117462442,7.23145493404822,0.130547967607974,0.0242089117847513,0.162057832553468,0.519317561926919,0.501831947420609,0.894970998740818,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46666",14.2055877123618,6.68428302730297,0.461534391363328,0.221148363035074,0.369879412477889,1.57759767206225,1.68378704170322,0.604189644284627,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46672",-13.6636645819118,-3.19835025742925,0,0.17253025085035,0,0.522590017212697,0.792356314071516,0.109408102651589,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46683",-33.7422495682292,2.71287338298901,0.309752348782863,0.213861337908869,0.363892770467039,0.510142028573384,0.404586406130455,0.59387617347734,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46689",-24.4663626336432,10.0061585849984,0.0973527676131165,0.03031590097629,0.253814207853943,0.468233719479541,0.391051256517053,0.433892346872521,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46704",-37.2570641440742,-10.3436874222504,0.462520781049453,0.183375770139033,0.590913245729863,0.826757598872865,0.560203470920495,0.83076247999199,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46713",-3.01387859732715,-42.4046650274454,0,0,0,0.346993575194295,0.419421882288778,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46715",-23.7370085789127,9.17846238300974,0.0980051378114306,0.180856447014518,0.235732164031655,0.533179168447174,0.451059035655027,0.325233773069067,"Yellow_vs_Dark","N","Topology=o37-59i80-99o128-150i",0,1
"g_46716",-0.213528830445697,5.39842996464661,0.0623487938608358,0.0102660260579826,0.0633600088758226,0.77183688975351,0.684436986728608,0.089703453124706,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46721",-31.0454576230855,0.232599536778562,0.218216362714516,0.223372098759384,0.314348682952543,0.59661787529568,0.601853869690072,0.494459189300597,"Yellow_vs_Dark","N","Topology=i44-66o76-98i105-123o138-160i",0,1
"g_46722",15.5409739359667,-13.5270301655131,0,0,0,0.351491343669003,0.0259928180376004,0.0630322137938838,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46724",-0.992075011226802,12.7010624744154,0,0,0.123680175090579,0.965289350969207,0.836289548035583,0.041479535369874,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46725",-25.4350604357952,12.4886460077524,0.0456964678990253,0.0742164953432089,0.25426014376941,0.516140429279469,0.107635234243901,0.592350440454332,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46728",-43.8522607602288,-22.0133539848597,0.455105967726086,0.224702137798223,0.424477522151606,0.728652733472805,0.78752791599402,1.12615083151721,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46752",-35.5980054312186,-18.0692718635828,0.593064320812741,0.592796434295041,0.361668163632926,0.746937398736846,0.896533712862633,0.712601640411921,"Yellow_vs_Dark","N","Topology=o",0,0
